ResourceType,Count,Percentage
microsoft.resources/deployments,329568,10.10071352
microsoft.apimanagement/service/apis/operations,107521,3.295340624
microsoft.storage/storageaccounts,107175,3.284736297
microsoft.web/sites,94564,2.898230027
microsoft.network/networkinterfaces,86665,2.656138756
microsoft.datafactory/factories/datasets,86242,2.643174506
microsoft.keyvault/vaults/secrets,76271,2.337579866
microsoft.compute/virtualmachines,75529,2.314838794
microsoft.network/networksecuritygroups,70712,2.16720572
microsoft.network/publicipaddresses,67378,2.06502414
microsoft.compute/virtualmachines/extensions,62504,1.91564411
config,58536,1.79403148
microsoft.web/serverfarms,54758,1.678242035
microsoft.network/virtualnetworks,52568,1.611122162
microsoft.apimanagement/service/apis/operations/policies,48067,1.473173964
microsoft.network/networksecuritygroups/securityrules,46806,1.434526402
microsoft.datafactory/factories/pipelines,44606,1.367100044
microsoft.operationalinsights/workspaces/savedsearches,44152,1.353185696
microsoft.storage/storageaccounts/blobservices/containers,43339,1.328268592
microsoft.insights/components,40292,1.234883087
microsoft.automation/automationaccounts/jobs,38117,1.168222939
microsoft.web/sites/config,33658,1.031561971
datasources,32070,0.982892401
microsoft.network/routetables/routes,29473,0.903298651
microsoft.keyvault/vaults,26389,0.808779157
extensions,26165,0.801913928
microsoft.logic/workflows,24955,0.764829431
microsoft.datafactory/factories/linkedservices,24843,0.761396817
microsoft.sql/servers/databases/advisors,24365,0.746746908
microsoft.web/sites/hostnamebindings,23576,0.722565364
microsoft.network/virtualnetworks/subnets,23314,0.714535498
microsoft.insights/metricalerts,22722,0.696391678
microsoft.dbforpostgresql/servers/configurations,22340,0.684684011
microsoft.sql/servers/firewallrules,22328,0.684316231
microsoft.compute/availabilitysets,22312,0.683825857
microsoft.sql/servers,21959,0.673006992
firewallrules,21506,0.659123292
microsoft.apimanagement/service/properties,20188,0.618728774
microsoft.sql/servers/databases,20147,0.617472192
microsoft.network/loadbalancers,19674,0.602975525
microsoft.apimanagement/service/apis/schemas,18856,0.57790518
microsoft.apimanagement/service/apis/operations/tags,18641,0.571315786
providers/diagnosticsettings,18627,0.570886709
microsoft.storage/storageaccounts/blobservices,18609,0.570335039
microsoft.web/connections,18537,0.568128358
microsoft.web/sites/deployments,18380,0.563316568
microsoft.insights/scheduledqueryrules,17954,0.550260373
microsoft.apimanagement/service/apis,17903,0.548697307
microsoft.apimanagement/service/groups/users,17183,0.5266305
microsoft.network/dnszones/a,17037,0.522155841
databases,16446,0.50404267
microsoft.apimanagement/service/products/apis,16175,0.495736969
microsoft.dbformysql/servers/configurations,15621,0.478757786
microsoft.servicebus/namespaces/topics/subscriptions,15410,0.472290985
microsoft.resources/resourcegroups,15004,0.459847757
secrets,14343,0.439589202
microsoft.compute/virtualmachinescalesets,12582,0.385617468
microsoft.network/routetables,12233,0.374921195
tags,12053,0.369404493
microsoft.automation/automationaccounts/modules,11549,0.353957728
microsoft.servicebus/namespaces/topics/subscriptions/rules,11529,0.353344761
blobservices/containers,11418,0.349942795
microsoft.apimanagement/service/templates,11366,0.348349081
microsoft.network/applicationgateways,10761,0.329806833
microsoft.apimanagement/service/subscriptions,10651,0.326435515
microsoft.sql/servers/advisors,9370,0.287174986
microsoft.web/sites/slots,9359,0.286837854
microsoft.apimanagement/service/apis/policies,9238,0.283129404
microsoft.servicebus/namespaces/topics,9237,0.283098756
transparentdataencryption,9096,0.278777339
microsoft.web/certificates,9001,0.275865747
microsoft.documentdb/databaseaccounts,8979,0.275191483
microsoft.datafactory/factories/triggers,8841,0.270962012
microsoft.sql/servers/databases/transparentdataencryption,8798,0.269644133
microsoft.sql/servers/databases/vulnerabilityassessments,8598,0.263514464
microsoft.servicebus/namespaces,8596,0.263453167
subscriptions,8523,0.261215838
microsoft.operationalinsights/workspaces,8448,0.258917212
microsoft.compute/disks,8219,0.251898742
microsoft.network/virtualnetworks/virtualnetworkpeerings,8185,0.250856698
microsoft.authorization/policydefinitions,8006,0.245370644
microsoft.servicebus/namespaces/queues,7871,0.241233118
microsoft.sql/servers/databases/securityalertpolicies,7618,0.233479087
microsoft.insights/actiongroups,7575,0.232161208
microsoft.sql/servers/databases/geobackuppolicies,7500,0.229862582
microsoft.sql/servers/databases/extendedauditingsettings,7378,0.226123484
microsoft.sql/servers/databases/auditingsettings,7248,0.222139199
microsoft.insights/autoscalesettings,7197,0.220576134
microsoft.eventhub/namespaces/eventhubs,7023,0.215243322
microsoft.eventhub/namespaces/eventhubs/consumergroups,7003,0.214630355
microsoft.sql/servers/databases/auditingpolicies,7001,0.214569058
microsoft.apimanagement/service/products,6912,0.211841356
authorizationrules,6861,0.21027829
microsoft.web/sites/functions,6735,0.206416599
microsoft.web/sites/extensions,6639,0.203474358
slots,6447,0.197589876
microsoft.operationsmanagement/solutions,6202,0.190081031
queues,6172,0.189161581
microsoft.documentdb/databaseaccounts/sqldatabases/containers,6118,0.18750657
microsoft.network/applicationsecuritygroups,6063,0.185820911
operations,6058,0.18566767
microsoft.containerservice/managedclusters,5819,0.178342715
microsoft.apimanagement/service/users,5778,0.177086133
microsoft.apimanagement/service/tags,5735,0.175768254
microsoft.sql/servers/databases/backupshorttermretentionpolicies,5716,0.175185936
microsoft.apimanagement/service/apis/diagnostics,5639,0.172826013
microsoft.apimanagement/service,5629,0.17251953
microsoft.apimanagement/service/products/groups,5582,0.171079058
microsoft.authorization/roleassignments,5340,0.163662158
siteextensions,5268,0.161455478
microsoft.insights/webtests,5116,0.156796929
microsoft.servicebus/namespaces/authorizationrules,5114,0.156735633
microsoft.keyvault/vaults/accesspolicies,5060,0.155080622
microsoft.cache/redis,5060,0.155080622
microsoft.apimanagement/service/backends,4942,0.151464117
microsoft.network/virtualnetworkgateways,4796,0.146989459
microsoft.eventhub/namespaces,4725,0.144813427
consumergroups,4602,0.14104368
microsoft.datafactory/factories,4570,0.140062933
topics,4541,0.139174131
microsoft.automation/automationaccounts,4464,0.136814209
microsoft.servicefabric/clusters,4413,0.135251143
subnets,4271,0.130899078
policies,4253,0.130347408
microsoft.operationalinsights/workspaces/datasources,4172,0.127864892
microsoft.apimanagement/service/notifications,4137,0.1267922
microsoft.network/trafficmanagerprofiles,4089,0.12532108
microsoft.managedidentity/userassignedidentities,4039,0.123788663
microsoft.apimanagement/service/apiversionsets,4010,0.122899861
microsoft.eventhub/namespaces/eventhubs/authorizationrules,3900,0.119528543
microsoft.network/dnszones/cname,3840,0.117689642
microsoft.automation/automationaccounts/variables,3786,0.116034631
providers/locks,3779,0.115820093
microsoft.containerregistry/registries,3651,0.111897105
securityalertpolicies,3536,0.108372545
microsoft.sql/servers/virtualnetworkrules,3520,0.107882172
microsoft.sql/servers/securityalertpolicies,3507,0.107483743
microsoft.datafactory/factories/dataflows,3418,0.104756041
proactivedetectionconfigs,3402,0.104265667
microsoft.devtestlab/schedules,3361,0.103009085
hostnamebindings,3298,0.101078239
auditingsettings,3202,0.098135998
microsoft.alertsmanagement/smartdetectoralertrules,3141,0.096266449
microsoft.recoveryservices/vaults,3112,0.095377647
microsoft.eventhub/namespaces/authorizationrules,3075,0.094243659
eventhubs,3069,0.094059769
microsoft.web/serverfarms/firstpartyapps/settings,3060,0.093783933
microsoft.insights/alertrules,3054,0.093600043
rules,3021,0.092588648
microsoft.documentdb/databaseaccounts/apis/databases/containers,3014,0.09237411
microsoft.datafactory/factories/integrationruntimes,2941,0.09013678
microsoft.apimanagement/service/groups,2924,0.089615759
microsoft.sql/servers/vulnerabilityassessments,2897,0.088788253
microsoft.servicebus/namespaces/topics/authorizationrules,2892,0.088635012
administrators,2884,0.088389825
microsoft.recoveryservices/vaults/backuppolicies,2882,0.088328528
microsoft.network/connections,2882,0.088328528
microsoft.sql/servers/auditingsettings,2824,0.086550924
microsoft.keyvault/vaults/providers/diagnosticsettings,2798,0.085754067
apis,2728,0.083608683
microsoft.web/sites/slots/config,2658,0.081463299
containers,2630,0.080605145
microsoft.documentdb/databaseaccounts/sqldatabases/containers/throughputsettings,2614,0.080114772
microsoft.databricks/workspaces,2575,0.078919486
microsoft.storage/storageaccounts/fileservices/shares,2569,0.078735596
microsoft.web/sites/slots/deployments,2566,0.078643651
microsoft.sql/servers/encryptionprotector,2537,0.077754849
microsoft.sql/servers/administrators,2515,0.077080586
microsoft.apimanagement/service/api-version-sets,2490,0.076314377
microsoft.containerinstance/containergroups,2479,0.075977245
variables,2457,0.075302982
microsoft.documentdb/databaseaccounts/sqldatabases,2391,0.073280191
microsoft.search/searchservices,2384,0.073065653
microsoft.cognitiveservices/accounts,2361,0.072360741
microsoft.insights/activitylogalerts,2339,0.071686477
microsoft.sql/servers/elasticpools,2338,0.071655829
microsoft.network/loadbalancers/inboundnatrules,2327,0.071318697
microsoft.automation/automationaccounts/runbooks,2313,0.07088962
servicecertificates,2308,0.070736379
microsoft.web/sites/slots/hostnamebindings,2296,0.070368598
microsoft.network/localnetworkgateways,2288,0.070123412
microsoft.apimanagement/service/loggers,2281,0.069908873
virtualnetworkpeerings,2267,0.069479796
linkedservices,2113,0.064759951
microsoft.apimanagement/service/products/policies,2108,0.06460671
microsoft.sql/servers/auditingpolicies,2047,0.062737161
microsoft.compute/virtualmachinescalesets/extensions,2040,0.062522622
microsoft.cdn/profiles,2035,0.062369381
vulnerabilityassessments,2013,0.061695117
properties,1996,0.061174095
microsoft.sql/servers/keys,1993,0.06108215
microsoft.sqlvirtualmachine/sqlvirtualmachines,1961,0.060101403
microsoft.sql/servers/extendedauditingsettings,1951,0.05979492
blobservices,1942,0.059519085
modules,1903,0.058323799
virtualnetworkrules,1894,0.058047964
microsoft.apimanagement/service/policies,1881,0.057649536
microsoft.documentdb/databaseaccounts/apis/databases,1859,0.056975272
microsoft.portal/dashboards,1856,0.056883327
microsoft.network/azurefirewalls,1827,0.055994525
microsoft.dbforpostgresql/servers,1821,0.055810635
microsoft.storage/storageaccounts/providers/roleassignments,1681,0.051519867
microsoft.authorization/policyassignments,1652,0.050631065
microsoft.servicebus/namespaces/queues/authorizationrules,1594,0.048853461
microsoft.storage/storageaccounts/fileservices,1591,0.048761516
microsoft.automation/automationaccounts/jobschedules,1589,0.048700219
microsoft.cdn/profiles/endpoints,1569,0.048087252
microsoft.eventgrid/topics,1534,0.04701456
microsoft.apimanagement/service/apis/tags,1517,0.046493538
microsoft.devices/iothubs,1504,0.04609511
microsoft.web/hostingenvironments,1457,0.044654638
microsoft.network/dnszones,1444,0.044256209
microsoft.recoveryservices/vaults/backupfabrics/protectioncontainers/protecteditems,1435,0.043980374
datasets,1402,0.042968979
microsoft.dbforpostgresql/servers/databases,1395,0.04275444
microsoft.documentdb/databaseaccounts/mongodbdatabases/collections,1389,0.04257055
microsoft.insights/components/currentbillingfeatures,1371,0.04201888
microsoft.apimanagement/service/diagnostics,1345,0.041222023
microsoft.eventgrid/topics/providers/eventsubscriptions,1311,0.040179979
microsoft.web/sites/siteextensions,1297,0.039750903
microsoft.web/sites/publiccertificates,1296,0.039720254
microsoft.authorization/locks,1288,0.039475067
microsoft.security/pricings,1261,0.038647562
microsoft.network/bastionhosts,1254,0.038433024
microsoft.streamanalytics/streamingjobs,1253,0.038402375
microsoft.sql/servers/databases/providers/diagnosticsettings,1243,0.038095892
microsoft.dbforpostgresql/servers/firewallrules,1213,0.037176442
microsoft.automation/automationaccounts/schedules,1210,0.037084497
microsoft.compute/images,1204,0.036900607
microsoft.servicefabric/clusters/applications,1202,0.03683931
microsoft.network/publicipaddresses/providers/diagnosticsettings,1193,0.036563475
providers/advancedthreatprotectionsettings,1192,0.036532826
microsoft.compute/proximityplacementgroups,1178,0.03610375
pipelines,1166,0.035735969
microsoft.network/applicationgateways/providers/diagnosticsettings,1154,0.035368189
sourcecontrols,1144,0.035061706
microsoft.hdinsight/clusters,1137,0.034847167
microsoft.automation/automationaccounts/connectiontypes,1137,0.034847167
microsoft.streamanalytics/streamingjobs/outputs,1125,0.034479387
microsoft.servicefabric/clusters/applicationtypes/versions,1114,0.034142256
microsoft.servicefabric/clusters/applicationtypes,1111,0.03405031
microsoft.devices/iothubs/eventhubendpoints/consumergroups,1095,0.033559937
microsoft.timeseriesinsights/environments,1084,0.033222805
microsoft.network/frontdoors,1068,0.032732432
backupshorttermretentionpolicies,1063,0.03257919
microsoft.web/sites/providers/diagnosticsettings,1050,0.032180761
microsoft.dbformysql/servers,1047,0.032088816
microsoft.sql/managedinstances,1040,0.031874278
microsoft.eventhub/namespaces/networkrulesets,1030,0.031567795
microsoft.signalrservice/signalr,1018,0.031200014
groups,1014,0.031077421
products,1013,0.031046773
operations/policies,1013,0.031046773
microsoft.storage/storageaccounts/providers/locks,982,0.030096674
microsoft.documentdb/databaseaccounts/mongodbdatabases/collections/throughputsettings,976,0.029912784
microsoft.keyvault/vaults/providers/locks,966,0.029606301
microsoft.operationalinsights/workspaces/linkedservices,962,0.029483707
microsoft.web/sites/virtualnetworkconnections,957,0.029330465
microsoft.servicefabric/clusters/applications/services,951,0.029146575
microsoft.dbformysql/servers/databases,951,0.029146575
endpoints,939,0.028778795
microsoft.storage/storageaccounts/blobservices/containers/providers/roleassignments,930,0.02850296
microsoft.botservice/botservices,907,0.027798048
/providers/diagnosticsettings,900,0.02758351
eventsources,899,0.027552861
microsoft.automation/automationaccounts/softwareupdateconfigurations,891,0.027307675
networkconfig,880,0.026970543
microsoft.apimanagement/service/authorizationservers,860,0.026357576
microsoft.sql/servers/failovergroups,832,0.025499422
microsoft.dbforpostgresql/servers/virtualnetworkrules,822,0.025192939
microsoft.storage/storageaccounts/managementpolicies,820,0.025131642
microsoft.network/networksecuritygroups/providers/diagnosticsettings,813,0.024917104
views,810,0.024825159
microsoft.analysisservices/servers,805,0.024671917
runbooks,796,0.024396082
microsoft.classiccompute/domainnames,788,0.024150895
microsoft.cdn/profiles/endpoints/origins,788,0.024150895
microsoft.network/privatednszones/a,769,0.023568577
databases/providers/diagnosticsettings,766,0.023476632
savedsearches,762,0.023354038
microsoft.recoveryservices/vaults/replicationfabrics/replicationprotectioncontainers/replicationprotecteditems,761,0.02332339
elasticpools,761,0.02332339
microsoft.containerservice/managedclusters/agentpools,757,0.023200797
microsoft.network/privateendpoints,739,0.022649126
microsoft.servicebus/namespaces/networkrulesets,727,0.022281346
microsoft.network/privatednszones,706,0.021637731
microsoft.network/networkinterfaces/providers/diagnosticsettings,704,0.021576434
microsoft.documentdb/databaseaccounts/apis/databases/collections,695,0.021300599
microsoft.network/privatednszones/virtualnetworklinks,694,0.021269951
microsoft.managedservices/registrationdefinitions,694,0.021269951
microsoft.recoveryservices/vaults/replicationfabrics/replicationprotectioncontainers/replicationprotectioncontainermappings,689,0.021116709
microsoft.compute/virtualmachinescalesets/virtualmachines/extensions,687,0.021055413
microsoft.recoveryservices/vaults/replicationfabrics/replicationprotectioncontainers,685,0.020994116
microsoft.recoveryservices/vaults/replicationfabrics,673,0.020626336
backuplongtermretentionpolicies,661,0.020258556
microsoft.devtestlab/labs/virtualmachines,655,0.020074665
providers/guestconfigurationassignments,650,0.019921424
microsoft.apimanagement/service/apis/diagnostics/loggers,619,0.018971325
microsoft.automation/automationaccounts/credentials,615,0.018848732
microsoft.network/networkwatchers,609,0.018664842
microsoft.apimanagement/service/apis/releases,597,0.018297062
microsoft.recoveryservices/vaults/replicationfabrics/replicationnetworks/replicationnetworkmappings,588,0.018021226
microsoft.network/dnszones/txt,582,0.017837336
microsoft.containerregistry/registries/scopemaps,580,0.01777604
microsoft.notificationhubs/namespaces,575,0.017622798
advisors,574,0.01759215
microsoft.notificationhubs/namespaces/notificationhubs,573,0.017561501
storageinsightconfigs,570,0.017469556
microsoft.dbformysql/servers/firewallrules,570,0.017469556
microsoft.notificationhubs/namespaces/notificationhubs/authorizationrules,567,0.017377611
microsoft.managedidentity/userassignedidentities/providers/roleassignments,567,0.017377611
virtualnetworkconnections,561,0.017193721
microsoft.automation/automationaccounts/connections,559,0.017132424
microsoft.operationalinsights/workspaces/savedsearches/schedules/actions,556,0.017040479
microsoft.network/expressroutecircuits,551,0.016887238
microsoft.apimanagement/service/diagnostics/loggers,548,0.016795293
microsoft.managedservices/registrationassignments,540,0.016550106
failovergroups,539,0.016519458
microsoft.storage/storageaccounts/providers/eventsubscriptions,538,0.016488809
microsoft.streamanalytics/streamingjobs/inputs,527,0.016151677
microsoft.documentdb/databaseaccounts/mongodbdatabases,519,0.015906491
microsoft.cdn/profiles/endpoints/customdomains,514,0.015753249
microsoft.compute/virtualmachines/providers/guestconfigurationassignments,512,0.015691952
microsoft.authorization/policysetdefinitions,511,0.015661304
microsoft.automation/automationaccounts/certificates,505,0.015477414
deploymentslots/state,504,0.015446766
microsoft.relay/namespaces,503,0.015416117
microsoft.network/trafficmanagerprofiles/azureendpoints,494,0.015140282
microsoft.network/frontdoorwebapplicationfirewallpolicies,494,0.015140282
microsoft.batch/batchaccounts,493,0.015109634
microsoft.recoveryservices/vaults/providers/diagnosticsettings,487,0.014925744
microsoft.operationalinsights/workspaces/savedsearches/schedules,477,0.01461926
microsoft.documentdb/databaseaccounts/sqldatabases/containers/storedprocedures,475,0.014557964
microsoft.network/virtualnetworks/providers/diagnosticsettings,472,0.014466018
microsoft.datalakestore/accounts,472,0.014466018
loggers,472,0.014466018
microsoft.network/dnszones/ns,468,0.014343425
microsoft.cache/redis/firewallrules,466,0.014282128
microsoft.devices/provisioningservices,459,0.01406759
microsoft.machinelearningservices/workspaces,449,0.013761107
microsoft.authorization/roledefinitions,449,0.013761107
microsoft.botservice/botservices/channels,448,0.013730458
microsoft.web/serverfarms/providers/diagnosticsettings,445,0.013638513
microsoft.recoveryservices/vaults/backupstorageconfig,438,0.013423975
microsoft.cache/redis/providers/diagnosticsettings,436,0.013362678
microsoft.relay/namespaces/hybridconnections/authorizationrules,417,0.01278036
microsoft.compute/virtualmachinescalesets/virtualmachines,414,0.012688415
microsoft.operationalinsights/workspaces/storageinsightconfigs,413,0.012657766
sendgrid.email/accounts,407,0.012473876
deploymentslots,403,0.012351283
diagnostics,393,0.012044799
microsoft.recoveryservices/vaults/replicationpolicies,390,0.011952854
microsoft.appconfiguration/configurationstores,390,0.011952854
microsoft.automation/automationaccounts/configurations,385,0.011799613
credentials,383,0.011738316
schedules,377,0.011554426
microsoft.apimanagement/service/certificates,375,0.011493129
microsoft.servicebus/namespaces/providers/roleassignments,374,0.011462481
microsoft.sql/servers/databases/backuplongtermretentionpolicies,372,0.011401184
microsoft.maps/accounts,371,0.011370536
microsoft.devtestlab/labs/formulas,369,0.011309239
policysets/policies,363,0.011125349
connectionpolicies,358,0.010972107
microsoft.customproviders/resourceproviders,357,0.010941459
microsoft.devtestlab/labs,351,0.010757569
microsoft.apimanagement/service/identityproviders,348,0.010665624
microsoft.documentdb/databaseaccounts/sqldatabases/containers/userdefinedfunctions,347,0.010634975
microsoft.aad/domainservices,343,0.010512382
microsoft.servicebus/namespaces/virtualnetworkrules,340,0.010420437
microsoft.sql/managedinstances/databases,338,0.01035914
microsoft.relay/namespaces/authorizationrules,338,0.01035914
microsoft.operationalinsights/workspaces/providers/locks,337,0.010328492
routes,336,0.010297844
accesspolicies,332,0.01017525
microsoft.recoveryservices/vaults/replicationalertsettings,331,0.010144602
microsoft.dbformariadb/servers/configurations,331,0.010144602
microsoft.sql/servers/databases/providers/locks,330,0.010113954
microsoft.web/sites/slots/extensions,321,0.009838119
microsoft.classicnetwork/networksecuritygroups/securityrules,321,0.009838119
microsoft.logic/integrationaccounts/maps,317,0.009715525
microsoft.logic/integrationaccounts/schemas,311,0.009531635
channels,311,0.009531635
microsoft.batch/batchaccounts/pools,308,0.00943969
microsoft.consumption/budgets,305,0.009347745
microsoft.network/networkprofiles,303,0.009286448
microsoft.network/dnszones/soa,303,0.009286448
microsoft.compute/snapshots,300,0.009194503
users,297,0.009102558
microsoft.operationalinsights/workspaces/views,297,0.009102558
shares,293,0.008979965
microsoft.insights/diagnosticsettings,288,0.008826723
customdomains,285,0.008734778
publiccertificates,280,0.008581536
microsoft.web/sites/providers/locks,280,0.008581536
microsoft.network/loadbalancers/providers/diagnosticsettings,280,0.008581536
microsoft.sql/managedinstances/databases/backupshorttermretentionpolicies,279,0.008550888
microsoft.relay/namespaces/hybridconnections,277,0.008489591
microsoft.notificationhubs/namespaces/authorizationrules,273,0.008366998
microsoft.management/managementgroups,272,0.00833635
microsoft.network/privatednszones/soa,270,0.008275053
encryptionprotector,269,0.008244405
microsoft.containerregistry/registries/providers/roleassignments,267,0.008183108
microsoft.sql/servers/providers/locks,264,0.008091163
microsoft.compute/virtualmachines/providers/locks,260,0.00796857
microsoft.kusto/clusters,258,0.007907273
microsoft.network/azurefirewalls/providers/diagnosticsettings,257,0.007876624
microsoft.servicebus/namespaces/providers/diagnosticsettings,256,0.007845976
microsoft.network/ddosprotectionplans,255,0.007815328
microsoft.logic/integrationaccounts/partners,254,0.007784679
microsoft.sql/managedinstances/databases/securityalertpolicies,251,0.007692734
microsoft.automation/automationaccounts/providers/diagnosticsettings,248,0.007600789
microsoft.sql/managedinstances/securityalertpolicies,245,0.007508844
microsoft.insights/components/proactivedetectionconfigs,243,0.007447548
microsoft.hdinsight/clusters/applications,243,0.007447548
microsoft.eventgrid/domains/topics,241,0.007386251
integrationruntimes,241,0.007386251
microsoft.logic/integrationaccounts,234,0.007171713
microsoft.apimanagement/service/providers/diagnosticsettings,233,0.007141064
serviceunits,229,0.007018471
microsoft.automation/automationaccounts/compilationjobs,229,0.007018471
microsoft.storage/storageaccounts/blobservices/providers/roleassignments,226,0.006926526
microsoft.sql/managedinstances/vulnerabilityassessments,224,0.006865229
microsoft.classicstorage/storageaccounts,222,0.006803932
microsoft.timeseriesinsights/environments/accesspolicies,221,0.006773284
virtualnetworks,213,0.006528097
providers/roleassignments,212,0.006497449
microsoft.kusto/clusters/databases,211,0.006466801
microsoft.deployment.providers/secretregistrations,211,0.006466801
microsoft.servicebus/namespaces/networkruleset,210,0.006436152
microsoft.network/applicationgatewaywebapplicationfirewallpolicies,209,0.006405504
microsoft.automation/automationaccounts/webhooks,209,0.006405504
microsoft.datafactory/factories/providers/roleassignments,207,0.006344207
microsoft.security/autoprovisioningsettings,206,0.006313559
cname,205,0.006282911
microsoft.insights/workbooks,202,0.006190966
microsoft.eventhub/namespaces/providers/roleassignments,202,0.006190966
microsoft.eventgrid/eventsubscriptions,199,0.006099021
microsoft.logic/workflows/providers/diagnosticsettings,197,0.006037724
active,196,0.006007075
microsoft.web/sites/hybridconnectionnamespaces/relays,194,0.005945779
microsoft.security/workspacesettings,194,0.005945779
microsoft.streamanalytics/streamingjobs/functions,191,0.005853834
microsoft.eventhub/namespaces/providers/diagnosticsettings,191,0.005853834
microsoft.web/customapis,188,0.005761889
microsoft.eventhub/namespaces/virtualnetworkrules,188,0.005761889
microsoft.sql/managedinstances/encryptionprotector,186,0.005700592
microsoft.documentdb/databaseaccounts/sqldatabases/throughputsettings,185,0.005669944
microsoft.automation/automationaccounts/nodeconfigurations,182,0.005577999
artifactsources,182,0.005577999
microsoft.network/virtualnetworkgateways/providers/diagnosticsettings,174,0.005332812
microsoft.security/securitycontacts,173,0.005302164
microsoft.kusto/clusters/databases/dataconnections,173,0.005302164
templates,171,0.005240867
microsoft.documentdb/databaseaccounts/tables,171,0.005240867
microsoft.web/serverfarms/providers/locks,169,0.00517957
configurations,169,0.00517957
microsoft.sql/servers/databases/workloadgroups,168,0.005148922
microsoft.network/dnszones/mx,168,0.005148922
microsoft.insights/components/providers/locks,168,0.005148922
microsoft.netapp/netappaccounts/capacitypools/volumes,167,0.005118273
microsoft.keyvault/vaults/providers/roleassignments,167,0.005118273
microsoft.powerbidedicated/capacities,162,0.004965032
microsoft.logic/integrationaccounts/agreements,161,0.004934383
microsoft.network/networksecuritygroups/providers/locks,160,0.004903735
microsoft.network/virtualnetworks/providers/locks,159,0.004873087
microsoft.datafactory/factories/providers/diagnosticsettings,159,0.004873087
managementpolicies,158,0.004842438
microsoft.resources/deploymentscripts,157,0.00481179
microsoft.datafactory/datafactories,157,0.00481179
microsoft.sql/managedinstances/keys,154,0.004719845
microsoft.timeseriesinsights/environments/eventsources,153,0.004689197
certificates,152,0.004658548
microsoft.containerregistry/registries/webhooks,149,0.004566603
microsoft.network/virtualhubs,147,0.004505307
microsoft.dbformariadb/servers,147,0.004505307
microsoft.compute/galleries,147,0.004505307
identityproviders,145,0.00444401
microsoft.devtestlab/labs/policysets/policies,143,0.004382713
some type,142,0.004352065
microsoft.web/hostingenvironments/multirolepools,142,0.004352065
microsoft.virtualmachineimages/imagetemplates,141,0.004321417
microsoft.network/publicipprefixes,140,0.004290768
backends,139,0.00426012
softwareupdateconfigurations,138,0.004229472
microsoft.datalakeanalytics/accounts,138,0.004229472
microsoft.network/privatednszones/cname,134,0.004106878
disasterrecoveryconfigs,134,0.004106878
microsoft.web/sites/host/functionkeys,132,0.004045581
microsoft.authorization/policysetdefinitions/,132,0.004045581
sqldatabases,130,0.003984285
microsoft.apimanagement/service/openidconnectproviders,130,0.003984285
apiversionsets,130,0.003984285
microsoft.network/dnszones/providers/roleassignments,129,0.003953636
microsoft.containerregistry/registries/replications,128,0.003922988
microsoft.appconfiguration/configurationstores/providers/roleassignments,127,0.00389234
microsoft.network/trafficmanagerprofiles/externalendpoints,126,0.003861691
databases/advisors,126,0.003861691
microsoft.network/virtualwans,125,0.003831043
microsoft.devices/iothubs/providers/eventsubscriptions,123,0.003769746
compilationjobs,123,0.003769746
microsoft.web/serverfarms/virtualnetworkconnections/routes,121,0.00370845
microsoft.compute/galleries/images,121,0.00370845
functions,121,0.00370845
outputs,120,0.003677801
microsoft.sql/servers/databases/workloadgroups/workloadclassifiers,120,0.003677801
inputs,120,0.003677801
host/systemkeys,120,0.003677801
microsoft.dbforpostgresql/servers/securityalertpolicies,117,0.003585856
microsoft.network/expressroutecircuits/peerings,116,0.003555208
microsoft.documentdb/databaseaccounts/apis/databases/containers/settings,116,0.003555208
microsoft.web/sites/slots/providers/diagnosticsettings,115,0.00352456
microsoft.deploymentmanager/artifactsources,115,0.00352456
authorizationservers,115,0.00352456
microsoft.web/sites/slots/functions,113,0.003463263
services,112,0.003432615
microsoft.relay/namespaces/wcfrelays,112,0.003432615
microsoft.containerservice/managedclusters/providers/diagnosticsettings,112,0.003432615
jobs,112,0.003432615
microsoft.network/virtualnetworks/subnets/providers/roleassignments,111,0.003401966
hybridconnections,110,0.003371318
microsoft.network/networkinterfaces/providers/locks,109,0.00334067
microsoft.devtestlab/labs/artifactsources,108,0.003310021
microsoft.servicebus/namespaces/disasterrecoveryconfigs,107,0.003279373
securityrules,106,0.003248724
microsoft.sqlvirtualmachine/sqlvirtualmachinegroups,104,0.003187428
[expression],103,0.003156779
microsoft.eventgrid/domains,100,0.003064834
microsoft.devtestlab/labs/providers/roleassignments,100,0.003064834
extendedauditingsettings,100,0.003064834
throughputsettings,99,0.003034186
microsoft.network/virtualnetworks/providers/roleassignments,99,0.003034186
microsoft.cache/redis/patchschedules,99,0.003034186
microsoft.compute/virtualmachines/providers/diagnosticsettings,98,0.003003538
jobschedules,98,0.003003538
microsoft.dbformysql/servers/virtualnetworkrules,97,0.002972889
microsoft.storage/storageaccounts/providers/diagnosticsettings,96,0.002942241
microsoft.eventhub/namespaces/ipfilterrules,96,0.002942241
microsoft.network/dnszones/srv,95,0.002911593
microsoft.netapp/netappaccounts,95,0.002911593
microsoft.web/sites/providers/roleassignments,92,0.002819648
microsoft.search/searchservices/providers/diagnosticsettings,92,0.002819648
microsoft.automation/automationaccounts/sourcecontrols,92,0.002819648
microsoft.network/networkwatchers/connectionmonitors,91,0.002788999
collections,91,0.002788999
schemas,90,0.002758351
microsoft.network/publicipaddresses/providers/locks,90,0.002758351
microsoft.machinelearningservices/workspaces/computes,89,0.002727703
